id,title,description,image,pullquote,choice1,effects1,next1,choice2,effects2,next2,choice3,effects3,next3,choice4,effects4,next4,,
# THE SCRAMBLE FOR AFRICA — A Heart of Darkness Event Web,,,,,,,,,,,,,,,,,,
"# HOW TO ADD AN EVENT: append a row. No ""start"" or ""end"" — events link to each other freely.",,,,,,,,,,,,,,,,,,
# COLUMNS:,,,,,,,,,,,,,,,,,,
#   id           unique short name (lowercase,no spaces).,,,,,,,,,,,,,,,,,
#   title        headline shown to player.,,,,,,,,,,,,,,,,,,
#   description  the prose. Use \n for paragraph breaks.,,,,,,,,,,,,,,,,,,
#   image        which scene plate to show. One of: brussels | coast | river | inner | title,,,,,,,,,,,,,,,,,,
#   pullquote    a quote from Conrad's Heart of Darkness (or leave blank).,,,,,,,,,,,,,,,,,,
#   choiceN      the button text for option N (2–4 supported).,,,,,,,,,,,,,,,,,,
#   effectsN     space-separated stat changes. Format: stat+N or stat-N.,,,,,,,,,,,,,,,,,,
#                Stats: territory  gold  military  humanity  infamy,,,,,,,,,,,,,,,,,,
#   nextN        what event comes next. Options:,,,,,,,,,,,,,,,,,,
#                  (blank) or *      → random event from the entire web,,,,,,,,,,,,,,,,,,
#                  id1|id2|id3       → random pick from this list,,,,,,,,,,,,,,,,,,
#                  some_id           → always go to that specific event,,,,,,,,,,,,,,,,,,
# Lines starting with # are ignored. Save and refresh.,,,,,,,,,,,,,,,,,,
brussels_conference,The Berlin Conference,"It is 1884. Around a table you see representatives from Great Britain, France, Germany, Portugal and Austria-Hungary",brussels,"There was a vast amount of red — good to see at any time\, because one knows that some real work is done in there.",Claim the Congo basin for the Company.,territory+12 infamy+5 humanity-4,coastal_landing|missionary_arrives,Claim the Niger delta,territory+8 gold+15,coastal_landing,Sign the Acts but ask for nothing today. Strike from the shadows later.,gold+10 infamy-5,*,"Argue for an ""international"" Free State that you secretly run.",territory+15 humanity-10 infamy+8,kurtz_rumor,,
native_policies,The Policies on natives,"Your colonists find their way to ""your"" newfound land yet you are faced with an obstacle to your peaceful colonization.",brussels,,"Force the natives off ""your"" land and leave them be.",infamy+3 humanity-5,,Propose peaceful co-exsistance with the natives,humanity+8 territory-6 millitary-3,,Slaughter the natives and prove your dominance.,humanity-15 gold+25 territory+2,*,Set up missions to attempt to convert them,,,,
native_reseistance,Native vengance,"After liberating the land from these ""savages"" you are met with violence in the name of revenge.",brussels,,Renounce your land and apoligize to the natives,territory-12 humanity+5,,Demand an aplogogy for their behavior as you graciously left them with their lives.,infamy+5 humanity-8,,Mark you territory with blood and make sure you will not be triffled with again.,humanity+8 gold-10,*,,,,,
coastal_landing,Landfall at the Mouth of the River,"The plane air drops you on a beach of black sand. Customs huts lean into the surf. A Belgian sergeant in a sweat-stained collar asks whether you want ""porters or prisoners — they cost the same.""",coast,"I've seen the devil of violence\, and the devil of greed\, and the devil of hot desire.",Hire free porters at fair wages.,gold-15 humanity+8 military-3,outer_station|fever_strikes,Take the prisoners. Speed matters.,humanity-10 military+5 infamy+4,outer_station,Refuse both and march inland with your own men.,humanity+5 territory+3,fever_strikes|chiefs_council,,,,,
outer_station,The Outer Station,"A boiler rusts in the long grass. An overturned railway truck lies on its back\, wheels in the air. Six men in iron collars file past you balancing baskets of earth. The overseer nods as if you were neighbors meeting on a Sunday boulevard.",coast,"They were called criminals\, and the outraged law had come to them\, an insoluble mystery from the sea.",Demand the chains be loosed for water.,humanity+12 military-5 infamy-3,grove_of_death|manager_smile,Walk on. Note it in your journal.,humanity-10 gold+5,manager_smile|treaty_offered,"""Where are the rifles\, the rivets\, the medicine?""",military+8 gold-10,manager_smile,,,,,
grove_of_death,The Grove of Death,"You step aside from the path into a shadow under the trees its much colder under here. The shadow is full of shapes black, crouched, lying, sitting between the trees. Half coming out, half effaced within the dim light. A young man near you lifts his head. You have a Swedish ship's biscuit in your pocket.",coast,"They were dying slowly — it was very clear. They were not enemies\, they were not criminals\, they were nothing earthly now.",Place the biscuit in his hand.,humanity+15 infamy-3,manager_smile|*,Walk on. There is nothing to be done for one of them.,humanity-15 gold+3,manager_smile|*,call him a filthy animal and spit at him,humanity-20 infamy+10,manager_smile|fever_strikes,,,,,
manager_smile,The Manager's Cold Smile,"The Central Station Manager has eyes the color of a winter fish. Mr. Kurtz‚ he says, almost in confidence, sends in more ivory than all of us combined. He is also‚ shall we say‚ unwell.",coast,"He was commonplace in complexion\, in feature\, in manners\, and in voice. He inspires uneasiness.",Volunteer to relieve Kurtz at the Inner Station.,territory+5 infamy+5,kurtz_rumor|river_fog,Quietly sabotage Kurtz's reputation in your dispatches.,gold+20 humanity-8 infamy+10,*,Side with the Manager publicly; visit Kurtz secretly.,infamy+5,kurtz_rumor|river_fog,,,,,
treaty_offered,The Chief's X-Mark,"A tribal chief offers a treaty drawn up by your translator. The chief cannot read French. He is told it concerns ""friendship and trade."" It is\, in fact\, a deed transferring 40‚000 square miles to the Company in perpetuity.",coast,"To tear treasure out of the bowels of the land was their desire\, with no more moral purpose at the back of it than there is in burglars breaking into a safe.",Witness his X and pour the brandy.,territory+18 humanity-15 infamy+10,chiefs_council,Translate the document honestly. Walk away if he refuses.,territory+3 humanity+15 gold-10,chiefs_council|missionary_arrives,Forge the X yourself once he sleeps.,territory+20 humanity-20 infamy+15,chiefs_council|uprising,,,,,
chiefs_council,Council of the Elders,"Three chiefs sit cross legged in a clearing, weighing whether to let your column pass north. Their warriors line the trees, spears bright in the dawn.",coast,"The earth seemed unearthly. We are accustomed to look upon the shackled form of a conquered monster\, but there — there you could look at a thing monstrous and free.",Offer guns and gin in exchange for safe passage.,gold-20 territory+8 military-3 humanity-5,trade_route|river_fog,Promise schools,humanity+20 infamy-10 gold - 5,trade_route|river_fog,Show your Maxim gun. Fire once into the air.,military+5 humanity-12 infamy+8 territory+10,missionary_arrives,,,,,*
missionary_arrives,A Missionary at Your Camp,"Father Renaud appears out of the bush in a torn cassock, leading a column of orphans. He has been told you are ""a man of conscience.""",coast,"The conquest of the earth\, which mostly means the taking it away from those who have a different complexion\, is not a pretty thing when you look into it too much.",Take the orphans into your service as porters and houseboys.,humanity-8 gold+5 military+3,*,Build him a chapel and a clinic at the station.,gold-25 humanity+15 infamy-5,*,Have him quietly escorted back to the coast. He sees too much.,humanity-15 infamy+8,*,,,,,
river_fog,Fog on the Great River,"A white fog stands all around the steamer like something solid. From the bank rises a long\, modulated cry — and then nothing. The pilgrims cock their rifles.",river,"We were wanderers on a prehistoric earth\, on an earth that wore the aspect of an unknown planet.",Drop anchor. Wait it out.,gold-5 humanity+5,snag_attack|kurtz_rumor,Steam on. Order them to fire at any sound.,humanity-15 military+5 infamy+8,snag_attack,Steam on slowly. Hold their fire.,humanity+8,snag_attack|inner_clearing,,,,,
snag_attack,Arrows from the Bank,"Sticks — little sticks — whiz past your face. Your Kru helmsman leaves the wheel to fire through the shutter\, and a long cane spear comes through the opening and drops him at your feet. The shaft brushes your shoes.",river,"He had no restraint\, no restraint — just like Kurtz — a tree swayed by the wind.",Bury him onshore with what dignity is possible.,humanity+12 gold-5,inner_clearing|*,Tip the body into the brown current. The Manager would.,humanity-10 infamy+5,inner_clearing|*,Carry him to the Inner Station to be honored.,humanity+6 military-3,inner_clearing,,,,,
kurtz_rumor,The Whisper of Kurtz,"Around every campfire someone speaks of Kurtz. He has built a kingdom of skulls. He has written a treatise. He has scrawled at the bottom of the last page\, in a different hand: ""Exterminate all the brutes.""",inner,"The wilderness had patted him on the head\, and\, behold\, it was like a ball — an ivory ball.",March on the Inner Station to confront him.,infamy+5 territory+5,inner_clearing,Send word to Brussels denouncing him before he denounces you.,infamy+10 humanity+5 gold-5,*,Quietly take credit for his ivory shipments.,gold+30 humanity-10 infamy+5,*,,,,,
