elementId,type,phase,content,imageKey,tags
elem_brussels_opening,paragraph,I. The Contract,"Brussels in the autumn of 1890 is a city that always makes you think of a whited sepulchre. The cobblestones are scrubbed; the windows are scrubbed; the very air seems sanitized.",brussels,"start,contract,city"
elem_doctor_calipers,paragraph,I. The Contract,"Down the hall, the Company doctor measures your skull with a cold pair of calipers. He smiles thinly. In the tropics, what one must observe is discipline.",brussels,"doctor,measurement,contract"
elem_disembark,paragraph,II. The Coast,"You disembark into a clearing that the Company calls a Station. A boiler wallows in the grass. An overturned railway-truck lies on its back with its wheels in the air.",coast,"arrival,station,desolation"
elem_grove_death,paragraph,II. The Coast,"You step aside from the path and into a shadow under the trees. The shadow is full of shapes. Black shapes, crouched, lying, sitting between the trees, leaning against the trunks.",coast,"grove,death,suffering"
elem_manager_smile,paragraph,II. The Coast,"At the Central Station you meet the Manager. He is a common, ordinary man — neither tall nor short, neither fat nor lean, with eyes the color of a cold fish.",coast,"manager,encounter,station"
elem_river_beginning,paragraph,III. The River,"Going up that river was like travelling back to the earliest beginnings of the world, when vegetation rioted on the earth and the big trees were kings.",river,"river,voyage,primordial"
elem_snag_attack,paragraph,III. The River,"Eight miles below the Inner Station, arrows fall from the bank like a shower of nothing. Sticks, little sticks, were flying about — thick: they came in a cloud.",river,"snag,attack,danger"
elem_inner_station,paragraph,IV. The Inner Station,"The bush around the Inner Station is silent in a way the river never was. A long, decaying building on the summit is half buried in the high grass.",inner,"station,inner,silence"
elem_kurtz_arrival,paragraph,IV. The Inner Station,"They carry him out on a stretcher — a long, thin shadow of a man, all bone, with a head like an ivory ball. His eyes shine, large and lustrous, with an unearthly intelligence.",inner,"kurtz,arrival,revelation"
elem_ending_witness,paragraph,Coda,"You wrestle him aboard. The boat slips downstream and the chanting fades into the trees. He dies in the night, in his cabin, with the candle guttering.",river,"ending,witness,redemption"
elem_ending_disillusioned,paragraph,Coda,"You leave him to the dark. By morning the steamer is twenty miles downriver and there is nothing behind you but green walls closing one upon the other.",river,"ending,disillusioned,escape"
elem_ending_lost,paragraph,Coda,"You kneel. He speaks to you for hours, in a voice that is not always his. The fires draw nearer, then nearer still. Somewhere behind you, the steamer's whistle calls.",inner,"ending,lost,transcendence"
elem_ending_complicit,paragraph,Coda,"You take the ivory. There is a great deal of it. You order the heads taken down, washed, and buried in a pit beyond the clearing. By dusk, the posts are bare.",coast,"ending,complicit,compromise"
elem_ending_claimed,paragraph,Coda,"The fever comes on slowly, then all at once. The Manager has the pilgrims roll you in your blanket and lay you on the foredeck, where the river breeze might cool your skin.",river,"ending,claimed,oblivion"
choice_resist_authority,choice,I. The Contract,"Challenge the doctor's measurements",,"resist,authority,defiance"
choice_accept_authority,choice,I. The Contract,"Accept the Company's doctrine",,"accept,authority,obedience"
choice_explore_grove,choice,II. The Coast,"Venture into the Grove of Death",,"explore,danger,curiosity"
choice_avoid_grove,choice,II. The Coast,"Avoid the shadows and stay on the path",,"prudence,caution,survival"
choice_trust_manager,choice,II. The Coast,"Place your faith in the Manager",,"trust,authority,convenience"
choice_question_manager,choice,II. The Coast,"Question the Manager's intentions",,"skepticism,independence,danger"
choice_go_upriver,choice,III. The River,"Continue upstream toward the Inner Station",,"ambition,determination,peril"
choice_turn_back,choice,III. The River,"Turn back before it is too late",,"prudence,safety,uncertainty"
choice_help_kurtz,choice,IV. The Inner Station,"Attempt to rescue Kurtz from the darkness",,"compassion,risk,hope"
choice_abandon_kurtz,choice,IV. The Inner Station,"Leave Kurtz to his fate",,"pragmatism,self-preservation,guilt"
