nodeId,phase,title,imageKey,paragraphElements,pullquote,choiceElements,nextNodes
start,I. The Contract,The Sepulchre City,brussels,"elem_brussels_opening","The cobblestones are scrubbed; the very air seems sanitized.","choice_resist_authority,choice_accept_authority","doctor,doctor"
doctor,I. The Contract,The Doctor's Calipers,brussels,"elem_doctor_calipers","In the tropics, what one must observe is discipline.","choice_resist_authority,choice_accept_authority","arrival,arrival"
arrival,II. The Coast,The Outer Station,coast,"elem_disembark,elem_grove_death","An overturned railway-truck lies on its back.","choice_explore_grove,choice_avoid_grove","grove,manager"
grove,II. The Coast,The Grove of Death,coast,"elem_grove_death","Black shapes, crouched, lying, sitting between the trees.","choice_trust_manager,choice_question_manager","manager,manager"
manager,II. The Coast,The Manager's Smile,coast,"elem_manager_smile","Eyes the color of a cold fish.","choice_trust_manager,choice_question_manager","fog,fog"
fog,III. The River,Going Up That River,river,"elem_river_beginning","Vegetation rioted on the earth.","choice_go_upriver,choice_turn_back","snag,ending_disillusioned"
snag,III. The River,The Snag and the Helmsman,river,"elem_snag_attack","Arrows fall from the bank like a shower of nothing.","choice_go_upriver,choice_turn_back","station,ending_disillusioned"
station,IV. The Inner Station,Posts in the Clearing,inner,"elem_inner_station,elem_kurtz_arrival","The bush is silent in a way the river never was.","choice_help_kurtz,choice_abandon_kurtz","kurtz,ending_lost"
kurtz,IV. The Inner Station,The Voice,inner,"elem_kurtz_arrival","His eyes shine with an unearthly intelligence.","choice_help_kurtz,choice_abandon_kurtz","ending_witness,ending_complicit"
ending_witness,Coda,The Horror The Horror,river,"elem_ending_witness","He dies in the night.","","end"
ending_disillusioned,Coda,Downstream,river,"elem_ending_disillusioned","Nothing behind you but green walls.","","end"
ending_lost,Coda,The Threshold,inner,"elem_ending_lost","The fires draw nearer.","","end"
ending_complicit,Coda,An Excellent Agent,coast,"elem_ending_complicit","By dusk, the posts are bare.","","end"
ending_claimed,Coda,The Jungle Has Claimed You,river,"elem_ending_claimed","The fever comes on slowly.","","end"
